"","id","name","mass_g","fall","year","lattitude","longditude"
"1",5295,"Castrovillari",15000,"Fell",1583,39.8,16.2
"2",16745,"Morito",10100000,"Found",1600,27.05,-105.43333
"3",12069,"Jalandhar",1967,"Fell",1621,31,75
"4",23732,"Stretchleigh",10400,"Fell",1623,50.38333,-3.95
"5",11855,"Hatford",29000,"Fell",1628,51.65,-1.51667
"6",16692,"Minamino",1040,"Fell",1632,35.07833,136.93333
"7",16805,"Mount Vaisi",17000,"Fell",1637,44.08333,6.86667
"8",18033,"Ortenau",4500,"Fell",1671,48.5,8
"9",23457,"Schellin",7000,"Fell",1715,53.35,15.05
"10",23615,"Siratik",1700,"Found",1716,14,-11
"11",23722,"Steinbach",98000,"Found",1724,50.5,12.5
"12",22396,"Rasgrad",24700,"Fell",1740,43.5,26.53333
"13",17994,"Ogi",14360,"Fell",1741,33.28333,130.2
"14",12356,"Krasnojarsk",7e+05,"Found",1749,54.9,91.8
"15",11916,"Hraschina",49000,"Fell",1751,46.1,16.33333
"16",14757,"Luponnas",14000,"Fell",1753,46.21667,5
"17",23776,"Tabor",7540,"Fell",1753,49.4,14.65
"18",453,"Albareto",2000,"Fell",1766,44.65,11.01667
"19",14724,"Lucé",3500,"Fell",1768,47.85,0.48333
"20",15446,"Mauerkirchen",19000,"Fell",1768,48.18333,13.13333
"21",23495,"Sena",4000,"Fell",1773,41.71667,-0.05
"22",22642,"Rodach",2900,"Fell",1775,50.35,10.8
"23",24018,"Toluca",3e+06,"Found",1776,19.56667,-99.56667
"24",14695,"Longchang",158500,"Found",1781,29.3,105.3
"25",5015,"Bendegó",5360000,"Found",1784,-10.11667,-39.2
"26",7775,"Eichstädt",3000,"Fell",1785,48.9,11.21667
"27",12291,"Kharkov",1500,"Fell",1787,50.625,35.075
"28",4942,"Barbotan",6400,"Fell",1790,43.95,-0.05
"29",30381,"Zacatecas (1792)",1e+06,"Found",1792,22.81667,-102.56667
"30",5261,"Cape of Good Hope",136000,"Found",1793,-33.5,26
"31",23586,"Siena",3700,"Fell",1794,43.11667,11.6
"32",24325,"Wold Cottage",25000,"Fell",1795,54.13667,-0.41333
"33",5063,"Bjelaja Zerkov",1850,"Fell",1796,49.78333,30.16667
"34",18876,"Portugal",4500,"Fell",1796,38.5,-8
"35",18884,"Prambanan",5e+05,"Found",1797,-7.56667,110.83333
"36",5011,"Benares (a)",3700,"Fell",1798,25.36667,82.91667
"37",23111,"Salles",9000,"Fell",1798,46.05,4.63333
"38",2320,"Apt",3200,"Fell",1803,43.86667,5.38333
"39",12434,"L'Aigle",37000,"Fell",1803,48.76667,0.63333
"40",15443,"Mässing",1600,"Fell",1803,48.13333,12.61667
"41",5326,"Charcas",1400000,"Found",1804,23.08333,-101.01667
"42",7751,"Durango",164000,"Found",1804,0,0
"43",11884,"High Possil",4500,"Fell",1804,55.9,-4.23333
"44",16705,"Misteca",10000,"Found",1804,16.8,-97.1
"45",5062,"Bitburg",1500000,"Found",1805,49.96667,6.53333
"46",7718,"Doroninsk",3891,"Fell",1805,51.2,112.3
"47",448,"Alais",6000,"Fell",1806,44.11667,4.08333
"48",24004,"Timochin",65500,"Fell",1807,54.5,35.2
"49",24249,"Weston",150000,"Fell",1807,41.266667,-73.266667
"50",5110,"Borgo San Donino",1676,"Fell",1808,44.86667,10.05
"51",14661,"Lissa",12800,"Fell",1808,50.2,14.85
"52",22548,"Red River",8e+05,"Found",1808,32,-95
"53",23713,"Stannern",52000,"Fell",1808,49.28333,15.56667
"54",5130,"Brahin",823000,"Found",1810,52.5,30.33333
"55",5296,"Caswell County",1360,"Fell",1810,36.5,-79.25
"56",5329,"Charsonville",27000,"Fell",1810,47.93333,1.56667
"57",16737,"Mooresfort",3520,"Fell",1810,52.45,-8.33333
"58",23167,"Santa Rosa",825000,"Found",1810,5.91667,-73
"59",5029,"Berlanguillas",1440,"Fell",1811,41.68333,-3.8
"60",12370,"Kuleschovka",6000,"Fell",1811,50.75,33.5
"61",5325,"Chantonnay",31500,"Fell",1812,46.68333,1.05
"62",10049,"Erxleben",2250,"Fell",1812,52.21667,11.25
"63",24036,"Toulouse",1030,"Fell",1812,43.6,1.4
"64",14652,"Limerick",50000,"Fell",1813,52.56667,-8.78333
"65",392,"Agen",30000,"Fell",1814,44.21667,0.61667
"66",4917,"Bachmut",18000,"Fell",1814,48.6,38
"67",12763,"Lenarto",108500,"Found",1814,49,21
"68",5331,"Chassigny",4000,"Fell",1815,47.71667,5.36667
"69",7750,"Durala",13200,"Fell",1815,30.3,76.63333
"70",5203,"Cambria",16300,"Found",1818,43.2,-78.8
"71",5262,"Cape York",58200000,"Found",1818,76.13333,-64.93333
"72",23501,"Seres",8500,"Fell",1818,41.05,23.56667
"73",23645,"Slobodka",2750,"Fell",1818,55,35
"74",30379,"Zaborzika",3867,"Fell",1818,50.28333,27.68333
"75",5172,"Burlington",68000,"Found",1819,42.75,-75.18333
"76",12202,"Jonzac",5000,"Fell",1819,45.43333,-0.45
"77",18853,"Pohlitz",3000,"Fell",1819,50.93333,12.13333
"78",14670,"Lixna",5213,"Fell",1820,56,26.43333
"79",12214,"Juvinas",91000,"Fell",1821,44.71667,4.3
"80",10839,"Futtehpur",4000,"Fell",1822,25.95,80.81667
"81",11444,"Guilford County",1100,"Found",1822,35.56667,-79.83333
"82",12025,"Imilac",920000,"Found",1822,-24.20333,-68.80667
"83",16984,"Nobleborough",2300,"Fell",1823,44.08333,-69.48333
"84",24037,"Tounkin",2000,"Fell",1824,51.73333,102.53333
"85",30397,"Zebrak",2000,"Fell",1824,49.88333,13.91667
"86",11904,"Honolulu",2420,"Fell",1825,21.3,-157.86667
"87",16904,"Nanjemoy",7500,"Fell",1825,38.41667,-77.16667
"88",30349,"Yanhuitlan",421000,"Found",1825,17.53333,-97.35
"89",18176,"Pavlograd",40000,"Fell",1826,48.53333,35.98333
"90",5042,"Bialystok",4000,"Fell",1827,53.1,23.2
"91",7728,"Drake Creek",5000,"Fell",1827,36.4,-86.5
"92",12393,"La Caille",626000,"Found",1828,43.73333,6.78333
"93",22603,"Richmond",1800,"Fell",1828,37.46667,-77.5
"94",5099,"Bohumilitz",59000,"Found",1829,49.05,13.76667
"95",10164,"Forsyth",16300,"Fell",1829,33.01667,-83.96667
"96",12355,"Krasnoi-Ugol",2440,"Fell",1829,54.03333,40.9
"97",12740,"Launton",1060,"Fell",1830,51.9,-1.11667
"98",24191,"Vouillé",20000,"Fell",1831,46.63333,0.16667
"99",24244,"Wessely",3750,"Fell",1831,48.95,17.38333
"100",24204,"Walker County",74800,"Found",1832,34,-87.16667
"101",5330,"Charwallas",12000,"Fell",1834,29.48333,75.5
"102",14651,"Lime Creek",20000,"Found",1834,31.55,-87.51667
"103",18002,"Okniny",12000,"Fell",1834,50.83333,25.5
"104",5328,"Charlotte",4300,"Fell",1835,36.16667,-87.33333
"105",10912,"Gibeon",2.6e+07,"Found",1836,-25.5,18
"106",15370,"Macau",1500,"Fell",1836,-5.2,-36.66667
"107",24257,"Wichita County",145000,"Found",1836,34.06667,-98.91667
"108",5387,"Coahuila",2100000,"Found",1837,28.7,-102.73333
"109",5450,"Cosby's Creek",960000,"Found",1837,35.78333,-83.25
"110",10051,"Esnandes",1500,"Fell",1837,46.25,-1.1
"111",11207,"Gross-Divina",10500,"Fell",1837,49.26667,18.71667
"112",30366,"Yonozu",31650,"Fell",1837,37.75,139
"113",427,"Akbarpur",1800,"Fell",1838,29.71667,77.95
"114",5320,"Chandakapur",8800,"Fell",1838,20.26667,76.01667
"115",5397,"Cold Bokkeveld",5200,"Fell",1838,-33.13333,19.38333
"116",23602,"Simbirsk (of P. Partsch)",1500,"Found",1838,54.3,48.4
"117",18906,"Putnam County",32700,"Found",1839,33.25,-83.25
"118",23650,"Smithland",5000,"Found",1839,37.13333,-88.4
"119",5282,"Carthage",127000,"Found",1840,36.26667,-85.98333
"120",5308,"Cereseto",6460,"Fell",1840,45.08333,8.3
"121",12256,"Karakol",3000,"Fell",1840,47.21667,81.01667
